Rate,Attack,E2E_TPS_Run1,E2E_TPS_Run2,E2E_TPS_Run3,E2E_TPS_Run4,E2E_TPS_Run5,E2E_TPS_Min,E2E_TPS_Max,E2E_TPS_Avg,E2E_TPS_Median,E2E_Lat_Run1,E2E_Lat_Run2,E2E_Lat_Run3,E2E_Lat_Run4,E2E_Lat_Run5,E2E_Lat_Min,E2E_Lat_Max,E2E_Lat_Avg,E2E_Lat_Median
100000,False,85286,88434,90466,89388,88124,85286,90466,88339.6,88434,1033,1079,927,994,1138,927,1138,1034.2,1033
100000,True,86139,83552,83336,86737,85953,83336,86737,85143.4,85953,4078,4185,3907,3818,4955,3818,4955,4188.6,4078
150000,False,134433,116478,75459,134203,134734,75459,134734,119061.4,134203,965,1265,2447,1016,931,931,2447,1324.8,1016
150000,True,92325,80116,91199,94712,106373,80116,106373,92945.0,92325,4921,4065,5025,4010,4457,4010,5025,4495.6,4457
200000,False,162552,168663,167992,175124,174052,162552,175124,169676.6,168663,1088,1007,933,1515,1190,933,1515,1146.6,1088
200000,True,113868,132950,122859,139728,164198,113868,164198,134720.6,132950,3740,6491,7538,4561,4306,3740,7538,5327.2,4561
250000,False,171701,175414,179044,215472,172714,171701,215472,182869.0,175414,2477,1479,2429,920,2843,920,2843,2029.6,2429
250000,True,0,57035,133689,22638,138967,22638,138967,88082.25,133689,0,3853,5916,2678,8938,2678,8938,5346.25,5916
300000,False,190891,179033,156330,147980,145877,145877,190891,164022.2,156330,1229,1299,2658,3732,2229,1229,3732,2229.4,2229
300000,True,112203,68695,121059,114844,64515,64515,121059,96263.2,112203,4560,5026,3837,3947,5328,3837,5328,4539.6,4560
350000,False,150564,191083,207047,190948,231037,150564,231037,194135.8,191083,3236,2397,1229,3186,1129,1129,3236,2235.4,2397
350000,True,47551,114016,128609,117555,0,47551,128609,101932.75,117555,4322,3943,6192,5546,0,3943,6192,5000.75,5546
400000,False,189218,221571,217578,222985,185960,185960,222985,207462.4,217578,3553,1175,1649,1166,1631,1166,3553,1834.8,1631
400000,True,171970,141735,23277,186211,16541,16541,186211,107946.8,141735,4089,5513,2830,4412,5004,2830,5513,4369.6,4412
450000,False,221175,215937,222854,215719,187689,187689,222854,212674.8,215937,1151,1182,1195,1119,4347,1119,4347,1798.8,1182
450000,True,0,184234,179890,133671,177157,133671,184234,168738.0,179890,0,4959,4068,3990,4628,3990,4959,4411.25,4628
500000,False,178925,184082,169192,167453,168337,167453,184082,173597.8,169192,1051,1143,1359,1201,5159,1051,5159,1982.6,1201
500000,True,165160,125919,181154,170337,150046,125919,181154,158523.2,165160,4429,5963,4207,5744,5372,4207,5963,5143.0,5372
